,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",bank,ChIJ9a3hyi9-j4ARyZ371-xAxTU,Wells Fargo Bank,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","2300 16th Street, San Francisco",37.7665937,-122.4094825
1,"San Francisco, California",bank,ChIJDVK5qGaAhYARKKI4hClE6Uo,Bank of America Financial Center,"['bank', 'finance', 'point_of_interest', 'establishment']","1 Market Street, San Francisco",37.7939255,-122.3951306
2,"San Francisco, California",bank,ChIJTdw_KNuAhYARuQJo0oI_kKc,Comerica Bank,"['bank', 'finance', 'point_of_interest', 'establishment']","2001 Union Street, San Francisco",37.7972061,-122.4324051
3,"San Francisco, California",bank,ChIJmQaMSYqAhYARHtqmuaGnsf4,Bank of India,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","555 California Street # 4646, San Francisco",37.7920621,-122.4036967
4,"San Francisco, California",bank,ChIJjZ42rYmAhYARV2d969rp-og,Citibank,"['bank', 'finance', 'point_of_interest', 'establishment']","99 Post Street, San Francisco",37.7886788,-122.4033701
5,"San Francisco, California",bank,ChIJhz9XJH2AhYARcC17618p-qE,Patelco Credit Union,"['bank', 'finance', 'point_of_interest', 'establishment']","124 2nd Street, San Francisco",37.7875205,-122.3995725
6,"San Francisco, California",bank,ChIJQ_WBf5yAhYARwxfKaGFr0HU,Wells Fargo Bank,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","1266 Market Street, San Francisco",37.77824319999999,-122.4160302
7,"San Francisco, California",bank,ChIJYcw_XYiAhYARKYma-SBx1EY,Chase Bank,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","700 Market Street, San Francisco",37.787752,-122.403717
8,"San Francisco, California",bank,ChIJmQaMSYqAhYARoiWjPKrvxk0,Ueki Satoshi,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","555 California Street # 3350, San Francisco",37.7920621,-122.4036967
9,"San Francisco, California",bank,ChIJY-aZR2Tx3IARK3DJ2OxfuAg,Union Bank,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","1675 Post Street, San Francisco",37.7854672,-122.4292828
