PO_NAME,Zipcode,STATE,Area__,Length__,Lng,Lat
NAPA,94558,CA,12313263537,995176.2253,-122.103292,38.513283
FAIRFIELD,94533,CA,991786103.4,200772.5566,-121.947475,38.301511
DIXON,95620,CA,7236949521,441860.2014,-121.653355,38.313387
SONOMA,95476,CA,3001414165,311318.5463,-122.406843,38.155682
NAPA,94559,CA,1194301745,359104.6466,-122.293685,38.155238
PETALUMA,94954,CA,2006544443,267474.4906,-122.457669,38.116895
RIO VISTA,94571,CA,4454445620,492056.7524,-121.862462,38.06603
TRAVIS AFB,94535,CA,302939707.7,95232.00842,-121.896539,38.286568
AMERICAN CANYON,94503,CA,693134128.3,136394.6951,-122.204187,38.209695
NOVATO,94949,CA,431605416.6,119395.6721,-122.486559,38.100527
NOVATO,94945,CA,753717019.2,159439.8805,-122.486559,38.100527
BIRDS LANDING,94512,CA,255902602.9,94434.9504,-121.886139,38.125593
VALLEJO,94591,CA,484506685,109660.4387,-122.228537,38.12597
BENICIA,94510,CA,856794194.5,180958.7492,-122.06418,38.118817
VALLEJO,94592,CA,488545032.1,136524.5302,-122.27408,38.110972
VALLEJO,94589,CA,171389541,68793.17854,-122.228537,38.12597
NOVATO,94947,CA,526285868.5,142727.1472,-122.540748,38.073545
VALLEJO,94590,CA,163378828.2,72484.57066,-122.228537,38.12597
NICASIO,94946,CA,1745903849,255832.2554,-122.709294,38.004603
OAKLEY,94561,CA,1765427018,254803.5658,-121.66269,37.968804
CROCKETT,94525,CA,60697253.77,46562.47758,-122.235311,38.044819
PORT COSTA,94569,CA,20082184.34,29591.79019,-122.204179,38.052609
SUISUN CITY,94585,CA,6221109968,778597.0071,-122.170896,38.140464
SAN FRANCISCO,94103,CA,36906106.55,33638.93316,-122.426409,37.764674
PITTSBURG,94565,CA,927254522,219041.5174,-121.863828,37.957534
SAN RAFAEL,94903,CA,588314133.8,162048.1433,-122.499074,38.047849
CONCORD,94520,CA,520757276.6,156727.8142,-122.028098,37.975373
RODEO,94572,CA,127308919.6,74714.505,-122.235212,38.003925
MARTINEZ,94553,CA,1875385976,280291.7125,-122.164549,37.92134
HERCULES,94547,CA,160751632.7,68087.33683,-122.24657,37.988869
SAN GERONIMO,94963,CA,165024880,86061.2085,-122.695982,38.001792
LAGUNITAS,94938,CA,36082456.91,44317.76733,-122.695982,38.001792
ALAMEDA,94502,CA,69205104.6,32993.21205,-122.226768,37.748
ANTIOCH,94509,CA,571907805.2,130696.5001,-121.756175,37.992191
SAN ANSELMO,94960,CA,191600460.3,91510.02623,-122.612764,38.022438
BRENTWOOD,94513,CA,3255395680,483845.8952,-121.579015,37.998835
SAN FRANCISCO,94109,CA,29239810.95,30323.94856,-122.41195,37.788858
CONCORD,94521,CA,633913436.5,162303.7526,-122.009331,37.96998
FAIRFAX,94930,CA,795487038.4,176279.9775,-122.612764,38.022438
WOODACRE,94973,CA,97586316.35,51398.61439,-122.663712,38.014467
FOREST KNOLLS,94933,CA,28993184.81,24932.12893,-122.695982,38.001792
