,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",cafe,ChIJ8YUefdZ_j4ART8gb7SJeblY,The Creamery,"['cafe', 'bar', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","685 4th Street, San Francisco",37.7774628,-122.3951578
1,"San Francisco, California",cafe,ChIJU3tHbqKAhYAR3MDnzOK40Nk,"La Boulangerie de San Francisco, Hayes","['cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']","500 Hayes Street, San Francisco",37.77677609999999,-122.4247969
2,"San Francisco, California",cafe,ChIJSdzjdYmAhYARb5BhktWOSg4,Cafe Claude,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","7 Claude Lane, San Francisco",37.79033219999999,-122.4045198
3,"San Francisco, California",cafe,ChIJc_iInSh-j4ARUkdU9Rr5lFI,DNA Lounge,"['night_club', 'cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","375 11th Street, San Francisco",37.7710938,-122.4126502
4,"San Francisco, California",cafe,ChIJm8vaiT5-j4ARU2MyuxNCc2s,Ritual Coffee Roasters,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']","1026 Valencia Street, San Francisco",37.75643579999999,-122.4214011
5,"San Francisco, California",cafe,ChIJf-V9OIKAhYARu8bBG2S6RME,Sightglass Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']","270 7th Street, San Francisco",37.7770356,-122.4084543
6,"San Francisco, California",cafe,ChIJXbxV1JGAhYARPXnXlHU1eoY,Dottie's True Blue Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']","28 6th Street, San Francisco",37.7816977,-122.4100146
7,"San Francisco, California",cafe,ChIJxYJR2riAhYARAG4Ru9aHLPo,New People,"['movie_theater', 'cafe', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']","1746 Post Street, San Francisco",37.785767,-122.43063
8,"San Francisco, California",cafe,ChIJ4QU1LoSAhYAR5u7S0AIFmpE,Blue Bottle Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']","66 Mint Street, San Francisco",37.7824573,-122.4077618
9,"San Francisco, California",cafe,ChIJy4kpbIaAhYAR_yxhR0Amrwk,Auntie Anne's Pretzels,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","845 Market Street #201, San Francisco",37.7843791,-122.4067797
10,"San Francisco, California",cafe,ChIJ__abjyF-j4ARmyuzGS1yOdc,Four Barrel Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']","375 Valencia Street, San Francisco",37.767019,-122.421961
11,"San Francisco, California",cafe,ChIJQxZzkUN-j4ARMz_GqIvQJyI,El Rio,"['bar', 'cafe', 'food', 'point_of_interest', 'establishment']","3158 Mission Street, San Francisco",37.74678279999999,-122.4193922
12,"San Francisco, California",cafe,ChIJwRoTbYeAhYARRVVpbPgZvdw,"Samovar Tea Lounge, Yerba Buena Gardens","['cafe', 'food', 'point_of_interest', 'establishment']","730 Howard Street, San Francisco",37.78417,-122.4021014
13,"San Francisco, California",cafe,ChIJEzzAJPaAhYARXNaBo1UeFJU,Il Fornaio San Francisco,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","Levi's Plaza, 1265 Battery Street, San Francisco",37.80290699999999,-122.4020405
