,City,Point,Northeast,Southwest
0,"San Francisco, California","37.7749295, -122.4194155","37.9298239, -122.28178","37.6398299, -123.173825"
1,"Napa, California","38.2975381, -122.286865","38.3508341, -122.2221959","38.221091, -122.357721"
2,"Sonoma, California","38.291859, -122.4580356","38.3075908, -122.416089","38.2745959, -122.48211"
3,"San Mateo, California","37.5629917, -122.3255254","37.6021349, -122.275478","37.510937, -122.3557821"
4,"Belmont, California","37.5202145, -122.2758008","37.5347359, -122.261529","37.497533, -122.328981"
5,"Newark, California","37.5296593, -122.0402399","37.563435, -121.987808","37.4786379, -122.0730809"
6,"Hayward, California","37.6688205, -122.0807964","37.69003, -121.9220689","37.5458348, -122.219138"
7,"Redwood City, California","37.48521520000001, -122.2363548","37.569534, -122.1397749","37.4467379, -122.2880789"
8,"Berkeley, California","37.8715926, -122.272747","37.9058239, -122.234179","37.835727, -122.367781"
9,"Menlo Park, California","37.4529598, -122.1817252","37.53433589999999, -122.081473","37.418539, -122.228677"
10,"Palo Alto, California","37.4418834, -122.1430195","37.477838, -122.0688679","37.2853458, -122.202476"
11,"Mountain View, California","37.3860517, -122.0838511","37.469887, -122.0446721","37.3567599, -122.1178619"
12,"Los Altos, California","37.3852183, -122.1141298","37.4063389, -122.061772","37.3295409, -122.129974"
13,"Sunnyvale, California","37.36883, -122.0363496","37.4640869, -121.98267","37.330236, -122.0655719"
14,"Cupertino, California","37.3229978, -122.0321823","37.340057, -121.996116","37.2784429, -122.0911729"
15,"Santa Clara, California","37.3541079, -121.9552356","37.418939, -121.9297351","37.3228419, -122.00537"
16,"San Jose, California","37.3382082, -121.8863286","37.4695381, -121.589154","37.124493, -122.0456719"
17,"Milpitas, California","37.4323341, -121.8995741","37.46684, -121.838469","37.39614, -121.9314679"
18,"Fremont, California","37.5482697, -121.9885719","37.604234, -121.867767","37.4545388, -122.1491751"
19,"Livermore, California","37.6818745, -121.7680088","37.7323279, -121.6966592","37.628038, -121.8483899"
20,"Dublin, California","37.7021521, -121.9357918","37.739228, -121.832054","37.69723, -121.98867"
