,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",city_hall,ChIJFV35CnWej4ARPT_tg7B1HEc,Choco Studio & City Hall Wedding Photographer,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","627 Lisbon Street, San Francisco",37.718316,-122.436047
1,"San Francisco, California",city_hall,ChIJY-bqepmAhYARSk9Xg_9tcLI,San Francisco City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1 Doctor Carlton B Goodlett Place, San Francisco",37.7792597,-122.4192646
2,"San Francisco, California",city_hall,ChIJi1haoJmAhYARP49DnsxJ3rY,The Office of the Treasurer & Tax Collector,"['city_hall', 'accounting', 'local_government_office', 'finance', 'point_of_interest', 'establishment']","1 Doctor Carlton B Goodlett Place, San Francisco",37.77929470000001,-122.4194955
3,"San Francisco, California",city_hall,ChIJtzTO0jh-j4AR6YOOm8w2WQo,Gy les nonains,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","2601 Mission Street, San Francisco",37.7552542,-122.4183777
4,"San Francisco, California",city_hall,ChIJN9DOFc9_j4ARduo7ijC5GDI,Genentech Hall Main Entrance,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",San Francisco,37.76760789999999,-122.3917962
5,"San Francisco, California",city_hall,ChIJ-bjaQM9_j4AREE7XplccVHY,Byers Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","600 16th Street, San Francisco",37.76707529999999,-122.3910037
6,"San Francisco, California",city_hall,ChIJbdxdj_N9j4ARpb2vZRn0b-8,San Francisco City Hall Wedding Photographer,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1901 9th Avenue, San Francisco",37.752694,-122.4658069
7,"San Francisco, California",city_hall,ChIJad3vsFB8j4AR4n-DSE55y6M,Larcombe Clubhouse,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","99 Lake Merced Boulevard, Daly City",37.7052502,-122.485453
8,"San Francisco, California",city_hall,ChIJ49DRd5mAhYARyXLuvsdEWRs,Mayor's Office of Neighborhood Services,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","City Hall, Room, 1 Doctor Carlton B Goodlett Place, San Francisco",37.7792597,-122.4192646
0,"Napa, California",city_hall,ChIJI2BxSl0GhYARQ8flc3UeJqg,Napa City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","955 School Street, Napa",38.2967158,-122.2895017
0,"Sonoma, California",city_hall,ChIJ6TJZsQKshYARmW8_xrwEcaw,Sonoma City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","The Plaza, Sonoma",38.2927773,-122.4577261
1,"Sonoma, California",city_hall,ChIJb9miPKmuhYARZ8QTHpXnN44,Sonoma Planning Department,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1 The Plz, Sonoma",38.29285540000001,-122.4576289
0,"San Mateo, California",city_hall,ChIJXfcInVqfj4ARwCfAjMNpQ_s,Belmont City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1 Twin Pines Lane, Belmont",37.5181165,-122.2766235
1,"San Mateo, California",city_hall,ChIJ73jd1xyij4ARkwqEBbHVqZE,San Carlos City Elections,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","600 Elm Street, San Carlos",37.504369,-122.2625632
2,"San Mateo, California",city_hall,ChIJZTNKjfWdj4ARvGm4rgCY3JM,Hillsborough Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1600 Floribunda Avenue, Hillsborough",37.57757689999999,-122.3562195
3,"San Mateo, California",city_hall,ChIJI22oh82ej4ARc-lPkZIIwJ4,City of Foster City,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","610 Foster City Boulevard, Foster City",37.5600812,-122.2693033
0,"Belmont, California",city_hall,ChIJXfcInVqfj4ARwCfAjMNpQ_s,Belmont City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1 Twin Pines Lane, Belmont",37.5181165,-122.2766235
1,"Belmont, California",city_hall,ChIJ73jd1xyij4ARkwqEBbHVqZE,San Carlos City Elections,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","600 Elm Street, San Carlos",37.504369,-122.2625632
2,"Belmont, California",city_hall,ChIJI22oh82ej4ARc-lPkZIIwJ4,City of Foster City,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","610 Foster City Boulevard, Foster City",37.5600812,-122.2693033
3,"Belmont, California",city_hall,ChIJiUDu86yjj4ARHJD1rUJCJcI,Redwood City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1017 Middlefield Road, Redwood City",37.4848586,-122.2274678
4,"Belmont, California",city_hall,ChIJuUrohgajj4ARL9QaLbkBuoY,The City of Redwood,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","2100 Spring Street, Redwood City",37.4840861,-122.2149181
5,"Belmont, California",city_hall,ChIJZTNKjfWdj4ARvGm4rgCY3JM,Hillsborough Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1600 Floribunda Avenue, Hillsborough",37.57757689999999,-122.3562195
0,"Newark, California",city_hall,ChIJnZuW-xq_j4AR4amMEqJY0_o,City of Newark,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","City Administration Building, 37101 Newark Boulevard, Newark",37.53537009999999,-122.0293305
0,"Hayward, California",city_hall,ChIJ8Z2A9mKRj4ARUsdOIFdLamc,Hayward City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","777 B Street, Hayward",37.6708446,-122.0857338
0,"Redwood City, California",city_hall,ChIJyaQW0zu7j4ARUiDBucIO1eU,City of Palo Alto City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","250 Hamilton Avenue, Palo Alto",37.4443593,-122.159902
1,"Redwood City, California",city_hall,ChIJXfcInVqfj4ARwCfAjMNpQ_s,Belmont City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1 Twin Pines Lane, Belmont",37.5181165,-122.2766235
2,"Redwood City, California",city_hall,ChIJ73jd1xyij4ARkwqEBbHVqZE,San Carlos City Elections,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","600 Elm Street, San Carlos",37.504369,-122.2625632
3,"Redwood City, California",city_hall,ChIJWWSTHhGkj4ARxAKWdcFofmE,Woodside Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","2955 Woodside Road, Woodside",37.4278937,-122.2509241
4,"Redwood City, California",city_hall,ChIJKUf9YbKkj4ARWKwo7c5SheY,City of Menlo Park,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","701 Laurel Street, Menlo Park",37.4538241,-122.1774649
5,"Redwood City, California",city_hall,ChIJiUDu86yjj4ARHJD1rUJCJcI,Redwood City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1017 Middlefield Road, Redwood City",37.4848586,-122.2274678
6,"Redwood City, California",city_hall,ChIJuUrohgajj4ARL9QaLbkBuoY,The City of Redwood,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","2100 Spring Street, Redwood City",37.4840861,-122.2149181
7,"Redwood City, California",city_hall,ChIJI22oh82ej4ARc-lPkZIIwJ4,City of Foster City,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","610 Foster City Boulevard, Foster City",37.5600812,-122.2693033
8,"Redwood City, California",city_hall,ChIJq63hfbKkj4ARYUm3MKolksY,Menlo Park Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","701 Laurel Street, Menlo Park",37.4538168,-122.17752
9,"Redwood City, California",city_hall,ChIJyaQW0zu7j4ARld1z15sz5es,Palo Alto City Attorney,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","250 Hamilton Avenue, Palo Alto",37.4443593,-122.159902
10,"Redwood City, California",city_hall,ChIJpVC5IxGkj4ARL7ZgdFdspQI,Independence Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","120-242 Whiskey Hill Road, Woodside",37.4280548,-122.2507451
11,"Redwood City, California",city_hall,ChIJbVXZcTq7j4ARh0BU_tZHt5k,City of Palo Alto,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","50 Hamilton AvenuePalo, Palo Alto",37.4426898,-122.1625639
0,"Berkeley, California",city_hall,ChIJk0BNgYKChYAR07s__gj4Mkk,Richmond City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","450 Civic Center Plaza, Richmond",37.9375834,-122.343217
1,"Berkeley, California",city_hall,ChIJuVRboWSHj4ARTiAZK_acZY8,Piedmont City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","120 Vista Avenue, Piedmont",37.82429299999999,-122.2326863
2,"Berkeley, California",city_hall,ChIJ-4K9A9h8hYARPZdhRknRya0,Orinda City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","22 Orinda Way, Orinda",37.8821468,-122.186209
3,"Berkeley, California",city_hall,ChIJAb_3VJl-hYARRfgJTbWOK9k,City of Berkeley,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1, 1947 Center Street, Berkeley",37.8701544,-122.2712312
4,"Berkeley, California",city_hall,ChIJx0IToLGAj4ARDZRy0wE53Aw,Oakland City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1 Frank H Ogawa Plaza, Oakland",37.805364,-122.2724809
5,"Berkeley, California",city_hall,ChIJD68LHxV-hYARbrsIqUJ5v5U,City of Emeryville Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1333 Park Avenue, Emeryville",37.8309909,-122.285428
0,"Menlo Park, California",city_hall,ChIJyaQW0zu7j4ARUiDBucIO1eU,City of Palo Alto City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","250 Hamilton Avenue, Palo Alto",37.4443593,-122.159902
1,"Menlo Park, California",city_hall,ChIJvXdF3Jqlj4ARBhntMI0TK6E,Portola Valley Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","765 Portola Road, Portola Valley",37.38159330000001,-122.2301658
2,"Menlo Park, California",city_hall,ChIJ73jd1xyij4ARkwqEBbHVqZE,San Carlos City Elections,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","600 Elm Street, San Carlos",37.504369,-122.2625632
3,"Menlo Park, California",city_hall,ChIJWWSTHhGkj4ARxAKWdcFofmE,Woodside Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","2955 Woodside Road, Woodside",37.4278937,-122.2509241
4,"Menlo Park, California",city_hall,ChIJKUf9YbKkj4ARWKwo7c5SheY,City of Menlo Park,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","701 Laurel Street, Menlo Park",37.4538241,-122.1774649
5,"Menlo Park, California",city_hall,ChIJyaQW0zu7j4ARld1z15sz5es,Palo Alto City Attorney,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","250 Hamilton Avenue, Palo Alto",37.4443593,-122.159902
6,"Menlo Park, California",city_hall,ChIJq63hfbKkj4ARYUm3MKolksY,Menlo Park Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","701 Laurel Street, Menlo Park",37.4538168,-122.17752
7,"Menlo Park, California",city_hall,ChIJuUrohgajj4ARL9QaLbkBuoY,The City of Redwood,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","2100 Spring Street, Redwood City",37.4840861,-122.2149181
8,"Menlo Park, California",city_hall,ChIJiUDu86yjj4ARHJD1rUJCJcI,Redwood City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1017 Middlefield Road, Redwood City",37.4848586,-122.2274678
9,"Menlo Park, California",city_hall,ChIJbVXZcTq7j4ARh0BU_tZHt5k,City of Palo Alto,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","50 Hamilton AvenuePalo, Palo Alto",37.4426898,-122.1625639
10,"Menlo Park, California",city_hall,ChIJpVC5IxGkj4ARL7ZgdFdspQI,Independence Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","120-242 Whiskey Hill Road, Woodside",37.4280548,-122.2507451
0,"Palo Alto, California",city_hall,ChIJyaQW0zu7j4ARUiDBucIO1eU,City of Palo Alto City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","250 Hamilton Avenue, Palo Alto",37.4443593,-122.159902
1,"Palo Alto, California",city_hall,ChIJKUf9YbKkj4ARWKwo7c5SheY,City of Menlo Park,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","701 Laurel Street, Menlo Park",37.4538241,-122.1774649
2,"Palo Alto, California",city_hall,ChIJyaQW0zu7j4ARld1z15sz5es,Palo Alto City Attorney,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","250 Hamilton Avenue, Palo Alto",37.4443593,-122.159902
3,"Palo Alto, California",city_hall,ChIJq63hfbKkj4ARYUm3MKolksY,Menlo Park Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","701 Laurel Street, Menlo Park",37.4538168,-122.17752
4,"Palo Alto, California",city_hall,ChIJezvfFzO3j4ARhVkzPjyo0vc,Mountain View City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","500 Castro Street, Mountain View",37.39012049999999,-122.0823323
5,"Palo Alto, California",city_hall,ChIJuUrohgajj4ARL9QaLbkBuoY,The City of Redwood,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","2100 Spring Street, Redwood City",37.4840861,-122.2149181
6,"Palo Alto, California",city_hall,ChIJWWSTHhGkj4ARxAKWdcFofmE,Woodside Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","2955 Woodside Road, Woodside",37.4278937,-122.2509241
7,"Palo Alto, California",city_hall,ChIJiUDu86yjj4ARHJD1rUJCJcI,Redwood City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","1017 Middlefield Road, Redwood City",37.4848586,-122.2274678
8,"Palo Alto, California",city_hall,ChIJbVXZcTq7j4ARh0BU_tZHt5k,City of Palo Alto,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","50 Hamilton AvenuePalo, Palo Alto",37.4426898,-122.1625639
9,"Palo Alto, California",city_hall,ChIJpVC5IxGkj4ARL7ZgdFdspQI,Independence Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","120-242 Whiskey Hill Road, Woodside",37.4280548,-122.2507451
0,"Mountain View, California",city_hall,ChIJyaQW0zu7j4ARUiDBucIO1eU,City of Palo Alto City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","250 Hamilton Avenue, Palo Alto",37.4443593,-122.159902
1,"Mountain View, California",city_hall,ChIJKxH3cJG2j4ARTV4wNBuAG10,Sunnyvale City Office,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","456 West Olive Avenue, Sunnyvale",37.371032,-122.0375308
2,"Mountain View, California",city_hall,ChIJcXjmdE60j4ARtd4DZ3iw9zM,Cupertino City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","10300 Torre Avenue, Cupertino",37.3189495,-122.0287336
