,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",supermarket,ChIJhYcNTH6AhYARLCy6SOK5mbo,Whole Foods Market,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","399 4th Street, San Francisco",37.7812218,-122.3999131
1,"San Francisco, California",supermarket,ChIJC55dsuqAhYARQApjF1OPPWU,Whole Foods Market,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","1765 California Street, San Francisco",37.7899512,-122.4231006
2,"San Francisco, California",supermarket,ChIJi9oZRJOAhYARghWHny7nWBA,Trader Joe's,"['grocery_or_supermarket', 'florist', 'supermarket', 'liquor_store', 'store', 'health', 'food', 'point_of_interest', 'establishment']","1095 Hyde Street, San Francisco",37.7907726,-122.4180046
3,"San Francisco, California",supermarket,ChIJBWRDUyl-j4ARbqKZH9F4ezA,Trader Joe's,"['grocery_or_supermarket', 'florist', 'supermarket', 'liquor_store', 'store', 'health', 'food', 'point_of_interest', 'establishment']","555 9th Street, San Francisco",37.77102600000001,-122.407843
4,"San Francisco, California",supermarket,ChIJ0XsfYyZ-j4ARNE4pMC-q7UI,Rainbow Grocery,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","1745 Folsom Street, San Francisco",37.7692662,-122.415454
5,"San Francisco, California",supermarket,ChIJGeeuRjWHhYARh6JurlcBi5Y,Trader Joe's,"['grocery_or_supermarket', 'florist', 'supermarket', 'liquor_store', 'store', 'health', 'food', 'point_of_interest', 'establishment']","3 Masonic Avenue, San Francisco",37.7833965,-122.4478414
6,"San Francisco, California",supermarket,ChIJU7KLkFGHhYARM2eYQ9u3yJE,Whole Foods Market,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","690 Stanyan Street, San Francisco",37.7695526,-122.4528209
7,"San Francisco, California",supermarket,ChIJpaZAnhN-j4ARC-HGxxzejQ8,Whole Foods Market,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","3950 24th Street, San Francisco",37.751965,-122.430905
8,"San Francisco, California",supermarket,ChIJBU6MxOSAhYARYAZiSw44REU,Trader Joe's,"['grocery_or_supermarket', 'florist', 'supermarket', 'liquor_store', 'store', 'health', 'food', 'point_of_interest', 'establishment']","401 Bay Street, San Francisco",37.8055028,-122.4137645
9,"San Francisco, California",supermarket,ChIJo0XH17iAhYARHD-QdYKgdjk,Nijiya Market,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","1737 Post Street #333, San Francisco",37.7852508,-122.4310319
10,"San Francisco, California",supermarket,ChIJfzGVGrp9j4ARvr54VKCLQnc,Trader Joe's,"['grocery_or_supermarket', 'florist', 'supermarket', 'liquor_store', 'store', 'health', 'food', 'point_of_interest', 'establishment']","265 Winston Drive, San Francisco",37.7266741,-122.4762484
11,"San Francisco, California",supermarket,ChIJnwZ_QDN-j4ARZgoZ-NAkywY,Whole Foods Market,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","450 Rhode Island Street, San Francisco",37.76426500000001,-122.4028099
12,"San Francisco, California",supermarket,ChIJq6qqqoZ-j4ARg4Jybn5PcoM,Whole Foods Market,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","1150 Ocean Avenue, San Francisco",37.72378010000001,-122.4549994
13,"San Francisco, California",supermarket,ChIJdXHo0ceAhYAR0rZF2T_NeUE,Mollie Stone's Markets,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']","2435 California Street, San Francisco",37.7886915,-122.4345495
14,"San Francisco, California",supermarket,ChIJ-arRLOd9j4ARzfBsCS8u1_4,Mollie Stone's Market,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']","635 Portola Drive, San Francisco",37.7447552,-122.4522998
15,"San Francisco, California",supermarket,ChIJq5CqoAiHhYAR4WR-vRlflPY,Grocery Outlet Bargain Market,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']","6333 Geary Boulevard, San Francisco",37.7796711,-122.4875987
16,"San Francisco, California",supermarket,ChIJLaW5fFt8j4ARlo3sQdEKRXs,Trader Joe's,"['grocery_or_supermarket', 'florist', 'supermarket', 'liquor_store', 'store', 'health', 'food', 'point_of_interest', 'establishment']","417 Westlake Center, Daly City",37.6999999,-122.4822744
17,"San Francisco, California",supermarket,ChIJCRbPKLOAhYARodDE5raXmzc,Lucky,"['supermarket', 'bakery', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","1750 Fulton Street #756, San Francisco",37.776174,-122.445785
18,"San Francisco, California",supermarket,ChIJp_T6IUaHhYARCB8W4fTwncI,Arguello Market,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","4066, 782 Arguello Boulevard, San Francisco",37.7756479,-122.45812
19,"San Francisco, California",supermarket,ChIJM77avBZ8j4ARQzHXgjadABA,Lucky California,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","6843 Mission Street, Daly City",37.6980235,-122.4630126
