,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",airport,ChIJD6cXnImAhYAR819z7iMAEPs,Service Tracking Systems,"['airport', 'parking', 'point_of_interest', 'establishment']","237 Kearny Street #306, San Francisco",37.79048389999999,-122.4041815
1,"San Francisco, California",airport,ChIJYUYfzSJ_j4ARbmS-4TAmIpw,A2 Global Shipping,"['airport', 'moving_company', 'finance', 'storage', 'point_of_interest', 'establishment']","1828 Egbert Avenue #2a, San Francisco",37.7276746,-122.4004735
2,"San Francisco, California",airport,ChIJOWs6Nrx-j4ARpTNY9rgmq9Q,SF BLACK LIMO,"['airport', 'point_of_interest', 'establishment']","324 South Hill Boulevard, San Francisco",37.708521,-122.431092
3,"San Francisco, California",airport,ChIJAQAAQIyAhYARFyzn8XrbmI0,Design To Win Foundation,"['airport', 'point_of_interest', 'establishment']",San Francisco,37.7909427,-122.4084994
4,"San Francisco, California",airport,ChIJs35C8Q5_j4ARDqPwIfyo6MI,SFO,"['airport', 'point_of_interest', 'establishment']","1207 Ridge Court, San Francisco",37.7093338,-122.4255863
5,"San Francisco, California",airport,ChIJM8gdtS-AhYARk8_k9tj9ws4,Building 3,"['premise', 'airport', 'point_of_interest', 'establishment']",San Francisco,37.8193829,-122.3658344
0,"Redwood City, California",airport,ChIJ8fmOvjOij4ARzpIrFfHo_w4,San Carlos Airport,"['airport', 'premise', 'point_of_interest', 'establishment']","620 Airport Way, San Carlos",37.5153754,-122.2503052
1,"Redwood City, California",airport,ChIJvUqR4wKij4ARwHvDpEr1dnA,San Mateo County Transit District,"['airport', 'local_government_office', 'point_of_interest', 'establishment']","1250 San Carlos Avenue, San Carlos",37.5064299,-122.2619171
2,"Redwood City, California",airport,ChIJUzU5gwiij4ARRWjKZOgy78Y,Bay Aerial Helicopter Service,"['airport', 'point_of_interest', 'establishment']","815 Skyway Road, San Carlos",37.50882500000001,-122.248947
3,"Redwood City, California",airport,ChIJLx5rTgmij4ARlIJJMVoVnYo,Flying Veterans Club of San Francisco,"['airport', 'point_of_interest', 'establishment']","Hangar F1, KSQL, San Carlos",37.5140883,-122.2492147
4,"Redwood City, California",airport,ChIJm2D5SC27j4AR4tIqjnpYn0Q,stanford heliport,"['airport', 'point_of_interest', 'establishment']","820 Quarry Road, Palo Alto",37.433555,-122.1753823
0,"Berkeley, California",airport,ChIJGW-o0194hYARnMHIOXKQ55g,Richmond Field Station,"['university', 'airport', 'point_of_interest', 'establishment']","1301 South 46th Street, Richmond",37.9170318,-122.3298475
1,"Berkeley, California",airport,ChIJcdUEqN59hYAR-jpFkjY6V9E,Yellow Airport Taxi Oakland,"['airport', 'taxi_stand', 'point_of_interest', 'establishment']","5798 Vicente Street, Oakland",37.84433000000001,-122.25975
2,"Berkeley, California",airport,ChIJG_OncnF-hYARoJ-UOBqfkZg,oakland international air port,"['airport', 'point_of_interest', 'establishment']","874 57th Street, Oakland",37.8419281,-122.2731888
3,"Berkeley, California",airport,ChIJx_XXS21-hYARCyJ_XjIAySQ,Local & Airport Cab Co,"['airport', 'point_of_interest', 'establishment']","1049 45th Street, Emeryville",37.834857,-122.277928
4,"Berkeley, California",airport,ChIJ6-8arUqHj4AR6F9VJJNlWjQ,Alameda County Parking Garage Heliport,"['airport', 'point_of_interest', 'establishment']","165 13th Street, Oakland",37.80077929999999,-122.2652638
5,"Berkeley, California",airport,ChIJYeYwrUqHj4ARxhZaBaRQ-No,Alameda County Garage,"['airport', 'parking', 'point_of_interest', 'establishment']",Oakland,37.8007614,-122.2653444
6,"Berkeley, California",airport,ChIJT0lecV57hYARZtiPQB89B3s,Sandhill Heliport,"['airport', 'point_of_interest', 'establishment']",Orinda,37.921313,-122.1955219
7,"Berkeley, California",airport,ChIJgybT8CeHj4ARzlX9mioUJHI,"U.S. Coast Guard Heliport, Island Facility","['airport', 'point_of_interest', 'establishment']","Eagle Road, Oakland",37.7852176,-122.2531906
8,"Berkeley, California",airport,ChIJM8gdtS-AhYARk8_k9tj9ws4,Building 3,"['premise', 'airport', 'point_of_interest', 'establishment']",San Francisco,37.8193829,-122.3658344
0,"Palo Alto, California",airport,ChIJdVMUu7C7j4AR4vmcgdOf-kU,Palo Alto Airport,"['airport', 'point_of_interest', 'establishment']","1925 Embarcadero Road, Palo Alto",37.4550078,-122.1107903
1,"Palo Alto, California",airport,ChIJm2D5SC27j4AR4tIqjnpYn0Q,stanford heliport,"['airport', 'point_of_interest', 'establishment']","820 Quarry Road, Palo Alto",37.433555,-122.1753823
2,"Palo Alto, California",airport,ChIJUQopC7q7j4AR1Oz6c3Jgrk0,Hangar,"['airport', 'point_of_interest', 'establishment']","1903 Embarcadero Road, Palo Alto",37.4538973,-122.1142698
3,"Palo Alto, California",airport,ChIJZ1_1Tue5j4ARLcB32uh_-4k,AvPorts Moffett Federal Airfield,"['airport', 'point_of_interest', 'establishment']","NASA Ames Research Center Boundary, Mountain View",37.4271813,-122.0619054
4,"Palo Alto, California",airport,ChIJ6-XcF2-3j4ARs_XUEsdu6qE,Hangar 1,"['airport', 'point_of_interest', 'establishment']","Moffett Field, MOFFETT FIELD",37.4131155,-122.0538771
5,"Palo Alto, California",airport,ChIJN95E8Yq3j4ARn2e0ureRR90,Moffett Federal Airfield,"['airport', 'point_of_interest', 'establishment']",Mountain View,37.4094963,-122.0510589
6,"Palo Alto, California",airport,ChIJhSyjIm-3j4ARTfP-5Z35Bmw,Hangar 1,"['airport', 'premise', 'point_of_interest', 'establishment']",Moffett Field,37.41281410000001,-122.0540919
0,"Mountain View, California",airport,ChIJdVMUu7C7j4AR4vmcgdOf-kU,Palo Alto Airport,"['airport', 'point_of_interest', 'establishment']","1925 Embarcadero Road, Palo Alto",37.4550078,-122.1107903
1,"Mountain View, California",airport,ChIJLzbfzve0j4ARI6m6NFGpx8w,21579 Edward Way,"['airport', 'point_of_interest', 'establishment']","21579 Edward Way, Cupertino",37.3088778,-122.0519665
2,"Mountain View, California",airport,ChIJm2D5SC27j4AR4tIqjnpYn0Q,stanford heliport,"['airport', 'point_of_interest', 'establishment']","820 Quarry Road, Palo Alto",37.433555,-122.1753823
3,"Mountain View, California",airport,ChIJN95E8Yq3j4ARn2e0ureRR90,Moffett Federal Airfield,"['airport', 'point_of_interest', 'establishment']",Mountain View,37.4094963,-122.0510589
4,"Mountain View, California",airport,ChIJ6-XcF2-3j4ARs_XUEsdu6qE,Hangar 1,"['airport', 'point_of_interest', 'establishment']","Moffett Field, MOFFETT FIELD",37.4131155,-122.0538771
5,"Mountain View, California",airport,ChIJZ1_1Tue5j4ARLcB32uh_-4k,AvPorts Moffett Federal Airfield,"['airport', 'point_of_interest', 'establishment']","NASA Ames Research Center Boundary, Mountain View",37.4271813,-122.0619054
6,"Mountain View, California",airport,ChIJq6qqqm62j4ARvmXCHlhEDp0,Airport Connection & Arprt Services,"['airport', 'point_of_interest', 'establishment']",Sunnyvale,37.371859,-122.0212337
7,"Mountain View, California",airport,ChIJUQopC7q7j4AR1Oz6c3Jgrk0,Hangar,"['airport', 'point_of_interest', 'establishment']","1903 Embarcadero Road, Palo Alto",37.4538973,-122.1142698
8,"Mountain View, California",airport,ChIJ1cj0jOzJj4ARhjJJeU_3Sug,Mc Candless Towers Heliport,"['airport', 'point_of_interest', 'establishment']","2900 Lakeside Drive Suite 200, Santa Clara",37.3846682,-121.9802252
9,"Mountain View, California",airport,ChIJhSyjIm-3j4ARTfP-5Z35Bmw,Hangar 1,"['airport', 'premise', 'point_of_interest', 'establishment']",Moffett Field,37.41281410000001,-122.0540919
0,"Sunnyvale, California",airport,ChIJm8Wz-sPLj4ARPn72bT9E-rw,Norman Y. Mineta San Jose International Airport,"['airport', 'point_of_interest', 'establishment']","1701 Airport Boulevard, San Jose",37.3639472,-121.9289375
1,"Sunnyvale, California",airport,ChIJLzbfzve0j4ARI6m6NFGpx8w,21579 Edward Way,"['airport', 'point_of_interest', 'establishment']","21579 Edward Way, Cupertino",37.3088778,-122.0519665
2,"Sunnyvale, California",airport,ChIJhVLRVaPLj4ARrPggNZYPAs8,Atlantic Aviation SJC,"['airport', 'point_of_interest', 'establishment']","1250 Aviation Avenue, San Jose",37.35710529999999,-121.9299361
3,"Sunnyvale, California",airport,ChIJxV9DjrfLj4ARLH67JGoo4bw,Signature Flight Support SJC - San Jose International Airport,"['airport', 'point_of_interest', 'establishment']","323 Martin Avenue, Santa Clara",37.361209,-121.9351855
