,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",bar,ChIJ18LA7PSAhYARZCNy_dme7v8,Comstock Saloon,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","155 Columbus Avenue, San Francisco",37.79692980000001,-122.4055622
1,"San Francisco, California",bar,ChIJIbtvA4qAhYARdnwerOi-f4I,Credo,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","360 Pine Street, San Francisco",37.79214530000001,-122.4020407
2,"San Francisco, California",bar,ChIJzWMEoXuAhYARnGNx8NeVTpY,Local Kitchen & Wine Merchant,"['liquor_store', 'night_club', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","330 1st Street #1, San Francisco",37.786797,-122.394217
3,"San Francisco, California",bar,ChIJezfMa4iAhYARh5hM01QRydg,Local Edition,"['night_club', 'bar', 'point_of_interest', 'establishment']","691 Market Street, San Francisco",37.787588,-122.4031888
4,"San Francisco, California",bar,ChIJP5PrLYSAhYARBcWhJXs55P4,54 Mint SF,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","16 Mint Plaza, San Francisco",37.7825768,-122.4079816
5,"San Francisco, California",bar,ChIJW52Si_OAhYAR-jAC1-iQh_c,The Stinking Rose,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","325 Columbus Avenue, San Francisco",37.798114,-122.40757
6,"San Francisco, California",bar,ChIJF-zbSmSAhYARvOafjdCRszQ,Boulevard Restaurant,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 Mission Street, San Francisco",37.79332,-122.392761
7,"San Francisco, California",bar,ChIJNRipBPGAhYAR1qLFGG_Tby4,Park Tavern,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1652 Stockton Street, San Francisco",37.8010894,-122.409101
8,"San Francisco, California",bar,ChIJf-NCNpeHhYARLeneHNw3WWs,Outerlands,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","4001 Judah Street, San Francisco",37.7602623,-122.5050272
9,"San Francisco, California",bar,ChIJn5G9Fzp-j4ARRs66QTw4XAY,Southern Pacific Brewing,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","620 Treat Avenue, San Francisco",37.7601026,-122.4142258
10,"San Francisco, California",bar,ChIJNy8VmmGAhYARQF84_9twEc4,Perbacco,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","230 California Street, San Francisco",37.7934429,-122.3993731
11,"San Francisco, California",bar,ChIJl7zcHY-AhYAR4rDx9C6-N4s,Daily Grill,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","347 Geary Street, San Francisco",37.787139,-122.408884
12,"San Francisco, California",bar,ChIJk2EFyIqAhYARXlKs2zO34Fg,Taverna Aventine,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2929, 582 Washington Street, San Francisco",37.7956853,-122.402855
13,"San Francisco, California",bar,ChIJaQ1QHj1-j4ARGwFcVV3HM9A,Tacolicious,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","741 Valencia Street, San Francisco",37.7609739,-122.4213474
14,"San Francisco, California",bar,ChIJ8YUefdZ_j4ART8gb7SJeblY,The Creamery,"['cafe', 'bar', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","685 4th Street, San Francisco",37.7774628,-122.3951578
15,"San Francisco, California",bar,ChIJTRjo7fSAhYARfeO41xn_YQo,Larry Flynt's Hustler Club,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1031 Kearny Street, San Francisco",37.79755979999999,-122.4055672
16,"San Francisco, California",bar,ChIJ10DmyyR-j4ARBZDBrVVevpo,Mission Bowling Club,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","3176 17th Street, San Francisco",37.763927,-122.416716
17,"San Francisco, California",bar,ChIJPR_P35GAhYAR6wRwwtF7pnE,Jones,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","620 Jones Street, San Francisco",37.78717699999999,-122.412987
18,"San Francisco, California",bar,ChIJMTUQLSZ-j4AR9AskIMS6IYM,Slim's,"['night_club', 'bar', 'point_of_interest', 'establishment']","333 11th Street, San Francisco",37.771424,-122.413328
19,"San Francisco, California",bar,ChIJDVK5qGaAhYAR_goq49KaaEc,One Market Restaurant,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 Market Street, San Francisco",37.79414139999999,-122.3947602
20,"San Francisco, California",bar,ChIJ18LA7PSAhYARZCNy_dme7v8,Comstock Saloon,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","155 Columbus Avenue, San Francisco",37.79692980000001,-122.4055622
21,"San Francisco, California",bar,ChIJIbtvA4qAhYARdnwerOi-f4I,Credo,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","360 Pine Street, San Francisco",37.79214530000001,-122.4020407
22,"San Francisco, California",bar,ChIJzWMEoXuAhYARnGNx8NeVTpY,Local Kitchen & Wine Merchant,"['liquor_store', 'night_club', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","330 1st Street #1, San Francisco",37.786797,-122.394217
23,"San Francisco, California",bar,ChIJezfMa4iAhYARh5hM01QRydg,Local Edition,"['night_club', 'bar', 'point_of_interest', 'establishment']","691 Market Street, San Francisco",37.787588,-122.4031888
24,"San Francisco, California",bar,ChIJP5PrLYSAhYARBcWhJXs55P4,54 Mint SF,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","16 Mint Plaza, San Francisco",37.7825768,-122.4079816
25,"San Francisco, California",bar,ChIJW52Si_OAhYAR-jAC1-iQh_c,The Stinking Rose,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","325 Columbus Avenue, San Francisco",37.798114,-122.40757
26,"San Francisco, California",bar,ChIJF-zbSmSAhYARvOafjdCRszQ,Boulevard Restaurant,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 Mission Street, San Francisco",37.79332,-122.392761
27,"San Francisco, California",bar,ChIJNRipBPGAhYAR1qLFGG_Tby4,Park Tavern,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1652 Stockton Street, San Francisco",37.8010894,-122.409101
28,"San Francisco, California",bar,ChIJf-NCNpeHhYARLeneHNw3WWs,Outerlands,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","4001 Judah Street, San Francisco",37.7602623,-122.5050272
29,"San Francisco, California",bar,ChIJn5G9Fzp-j4ARRs66QTw4XAY,Southern Pacific Brewing,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","620 Treat Avenue, San Francisco",37.7601026,-122.4142258
30,"San Francisco, California",bar,ChIJNy8VmmGAhYARQF84_9twEc4,Perbacco,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","230 California Street, San Francisco",37.7934429,-122.3993731
31,"San Francisco, California",bar,ChIJl7zcHY-AhYAR4rDx9C6-N4s,Daily Grill,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","347 Geary Street, San Francisco",37.787139,-122.408884
32,"San Francisco, California",bar,ChIJk2EFyIqAhYARXlKs2zO34Fg,Taverna Aventine,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2929, 582 Washington Street, San Francisco",37.7956853,-122.402855
33,"San Francisco, California",bar,ChIJaQ1QHj1-j4ARGwFcVV3HM9A,Tacolicious,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","741 Valencia Street, San Francisco",37.7609739,-122.4213474
34,"San Francisco, California",bar,ChIJ8YUefdZ_j4ART8gb7SJeblY,The Creamery,"['cafe', 'bar', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","685 4th Street, San Francisco",37.7774628,-122.3951578
35,"San Francisco, California",bar,ChIJTRjo7fSAhYARfeO41xn_YQo,Larry Flynt's Hustler Club,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1031 Kearny Street, San Francisco",37.79755979999999,-122.4055672
