,City,Point,Northeast,Southwest
0,"San Francisco, California","37.7749295, -122.4194155","37.9298239, -122.28178","37.6398299, -123.173825"
1,"Redwood City, California","37.48521520000001, -122.2363548","37.569534, -122.1397749","37.4467379, -122.2880789"
2,"Berkeley, California","37.8715926, -122.272747","37.9058239, -122.234179","37.835727, -122.367781"
3,"Palo Alto, California","37.4418834, -122.1430195","37.477838, -122.0688679","37.2853458, -122.202476"
4,"Mountain View, California","37.3860517, -122.0838511","37.469887, -122.0446721","37.3567599, -122.1178619"
5,"Sunnyvale, California","37.36883, -122.0363496","37.4640869, -121.98267","37.330236, -122.0655719"
6,"Cupertino, California","37.3229978, -122.0321823","37.340057, -121.996116","37.2784429, -122.0911729"
7,"Santa Clara, California","37.3541079, -121.9552356","37.418939, -121.9297351","37.3228419, -122.00537"
8,"San Jose, California","37.3382082, -121.8863286","37.4695381, -121.589154","37.124493, -122.0456719"
9,"Fremont, California","37.5482697, -121.9885719","37.604234, -121.867767","37.4545388, -122.1491751"
