,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",department_store,ChIJLx5kIomAhYARyJn4Qqe_-K8,Saks Fifth Avenue,"['department_store', 'shoe_store', 'jewelry_store', 'clothing_store', 'store', 'point_of_interest', 'establishment']","384 Post Street, San Francisco",37.7886037,-122.4081067
1,"San Francisco, California",department_store,ChIJ6zMe3oWAhYARaZ33Z1BAMRo,Westfield San Francisco Centre,"['shopping_mall', 'shoe_store', 'movie_theater', 'department_store', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","865 Market Street, San Francisco",37.784142,-122.4068825
2,"San Francisco, California",department_store,ChIJBWRDUyl-j4ARo_dSLaN2R5w,Nordstrom Rack Downtown San Francisco,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","555 9th Street, San Francisco",37.7706065,-122.4067762
3,"San Francisco, California",department_store,ChIJ8ZE9JI-AhYAR4bd19NbGWUk,Macy's,"['department_store', 'shoe_store', 'jewelry_store', 'furniture_store', 'clothing_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","170 O'Farrell Street, San Francisco",37.7869829,-122.4072103
4,"San Francisco, California",department_store,ChIJ5y1zsoeAhYARJl9k0fuMdRs,Target,"['department_store', 'furniture_store', 'grocery_or_supermarket', 'clothing_store', 'electronics_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']","789 Mission Street, San Francisco",37.7844021,-122.4037347
5,"San Francisco, California",department_store,ChIJIeLvsUqHhYARYDJ1HzoLki0,Target,"['department_store', 'furniture_store', 'grocery_or_supermarket', 'clothing_store', 'electronics_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']","2675 Geary Boulevard, San Francisco",37.7820293,-122.446747
6,"San Francisco, California",department_store,ChIJocxp5oWAhYARbnBCbC8lKdk,Nordstrom San Francisco Centre,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","865 Market Street, San Francisco",37.7839663,-122.4075291
7,"San Francisco, California",department_store,ChIJC2juwih-j4ARvLq4f6Oyeuc,Costco Wholesale,"['department_store', 'store', 'point_of_interest', 'establishment']","450 10th Street, San Francisco",37.7702938,-122.410863
8,"San Francisco, California",department_store,ChIJy4kpbIaAhYARyPe8IPcne9k,Bloomingdale's,"['department_store', 'shoe_store', 'jewelry_store', 'clothing_store', 'store', 'point_of_interest', 'establishment']","845 Market Street, San Francisco",37.7838058,-122.4057627
9,"San Francisco, California",department_store,ChIJM6caJIaAhYARM_2YtmPwMNI,Ross Dress for Less,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","799 Market Street, San Francisco",37.7856762,-122.4054101
10,"San Francisco, California",department_store,ChIJ63JoBSx-j4ARRkst_FMbEiA,Bed Bath & Beyond,"['department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","555 9th Street, San Francisco",37.7714388,-122.4079621
11,"San Francisco, California",department_store,ChIJp75FwIWAhYARZmjHfc5VVws,Marshalls,"['department_store', 'clothing_store', 'store', 'point_of_interest', 'establishment']","760 Market Street, San Francisco",37.7866189,-122.4052741
12,"San Francisco, California",department_store,ChIJ9a3hyi9-j4AR0YuP1VpHjJk,Ross Dress for Less,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","2300 16th Street, San Francisco",37.7667022,-122.4084839
13,"San Francisco, California",department_store,ChIJfwmnqomAhYARyEOVb6t3Oso,Gump's,"['department_store', 'jewelry_store', 'furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","135 Post Street, San Francisco",37.7887296,-122.4042469
14,"San Francisco, California",department_store,ChIJF4YG8-SAhYAR8TM35cb2X7w,Ross Dress for Less,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","2550 Taylor Street, San Francisco",37.80599999999999,-122.414558
15,"San Francisco, California",department_store,ChIJ6YdKLxGHhYARBkrXVKqe7A0,Ross Dress for Less,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","5200 Geary Boulevard, San Francisco",37.780683,-122.475693
16,"San Francisco, California",department_store,ChIJ08T7AZ99j4ARlFcx4eFMlqM,Ross Dress for Less,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","1545 Sloat Boulevard, San Francisco",37.73250949999999,-122.4911549
17,"San Francisco, California",department_store,ChIJY2NmSImAhYARSKURmRma6lw,Wilkes Bashford,"['clothing_store', 'department_store', 'store', 'point_of_interest', 'establishment']","375 Sutter Street, San Francisco",37.78944209999999,-122.4064863
18,"San Francisco, California",department_store,ChIJx7P1sY6AhYAR7SM672TtgyQ,Alessi Store,"['department_store', 'store', 'point_of_interest', 'establishment']","424 Sutter Street, San Francisco",37.7895721,-122.4074915
19,"San Francisco, California",department_store,ChIJAX21qn6AhYAR-G0CrZeYxEQ,Joyus,"['department_store', 'store', 'point_of_interest', 'establishment']","375 Alabama Street #325, San Francisco",37.76453679999999,-122.4121519
20,"San Francisco, California",department_store,ChIJLx5kIomAhYARyJn4Qqe_-K8,Saks Fifth Avenue,"['department_store', 'shoe_store', 'jewelry_store', 'clothing_store', 'store', 'point_of_interest', 'establishment']","384 Post Street, San Francisco",37.7886037,-122.4081067
21,"San Francisco, California",department_store,ChIJ6zMe3oWAhYARaZ33Z1BAMRo,Westfield San Francisco Centre,"['shopping_mall', 'shoe_store', 'movie_theater', 'department_store', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","865 Market Street, San Francisco",37.784142,-122.4068825
22,"San Francisco, California",department_store,ChIJBWRDUyl-j4ARo_dSLaN2R5w,Nordstrom Rack Downtown San Francisco,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","555 9th Street, San Francisco",37.7706065,-122.4067762
23,"San Francisco, California",department_store,ChIJ8ZE9JI-AhYAR4bd19NbGWUk,Macy's,"['department_store', 'shoe_store', 'jewelry_store', 'furniture_store', 'clothing_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","170 O'Farrell Street, San Francisco",37.7869829,-122.4072103
24,"San Francisco, California",department_store,ChIJ5y1zsoeAhYARJl9k0fuMdRs,Target,"['department_store', 'furniture_store', 'grocery_or_supermarket', 'clothing_store', 'electronics_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']","789 Mission Street, San Francisco",37.7844021,-122.4037347
25,"San Francisco, California",department_store,ChIJIeLvsUqHhYARYDJ1HzoLki0,Target,"['department_store', 'furniture_store', 'grocery_or_supermarket', 'clothing_store', 'electronics_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']","2675 Geary Boulevard, San Francisco",37.7820293,-122.446747
26,"San Francisco, California",department_store,ChIJocxp5oWAhYARbnBCbC8lKdk,Nordstrom San Francisco Centre,"['clothing_store', 'shoe_store', 'department_store', 'store', 'point_of_interest', 'establishment']","865 Market Street, San Francisco",37.7839663,-122.4075291
