,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",doctor,ChIJLSWrfVeHhYAR41rkUlCKVoM,UCSF Radiology & Biomedical,"['doctor', 'health', 'point_of_interest', 'establishment']","505 Parnassus Avenue, San Francisco",37.76308949999999,-122.4578144
1,"San Francisco, California",doctor,ChIJiWwdo1mHhYARlGWujztyT_Q,"Laurence Baskin, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","1825 4th Street, San Francisco",37.7656374,-122.3897884
2,"San Francisco, California",doctor,ChIJLSWrfVeHhYARhp59HvABZi8,UCSF Radiation Oncology: Barani Igor MD,"['doctor', 'health', 'point_of_interest', 'establishment']","505 Parnassus Avenue # L75, San Francisco",37.76308949999999,-122.4578144
3,"San Francisco, California",doctor,ChIJLSWrfVeHhYARY4c2kvHAZ4Y,"Mark Cocalis, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","1825 4th Street, San Francisco",37.7656374,-122.3897884
4,"San Francisco, California",doctor,ChIJ-fdK9caAhYARZnsgYPeyKNI,"Dr. Clinton W. Young, MD","['doctor', 'health', 'point_of_interest', 'establishment']","2100 Webster Street, San Francisco",37.7905249,-122.432128
5,"San Francisco, California",doctor,ChIJsTwLd5OAhYARxVfCRwaxT9Y,"Lesley J. Wolff, DPM","['doctor', 'health', 'point_of_interest', 'establishment']","909 Hyde Street #230, San Francisco",37.78934770000001,-122.4175451
6,"San Francisco, California",doctor,ChIJsTwLd5OAhYARGzbRtpdm8Xk,Galamba Patricia J MD,"['doctor', 'health', 'point_of_interest', 'establishment']","909 Hyde Street, San Francisco",37.78934770000001,-122.4175451
7,"San Francisco, California",doctor,ChIJnYbr6saAhYARiDdUIinpsNU,"Roy E. Abendroth, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","2333 Buchanan Street, San Francisco",37.790738,-122.4310773
8,"San Francisco, California",doctor,ChIJZ76fAGGAhYARgppLxsrHrH8,"Dr. Alicea X. Wu, MD","['doctor', 'health', 'point_of_interest', 'establishment']","2 Embarcadero Center, San Francisco",37.7949888,-122.3986798
9,"San Francisco, California",doctor,ChIJyVcni8aAhYAREDDdBlO-YPM,"Kenneth D. Laxer, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","2100 Webster Street #115, San Francisco",37.7905247,-122.4321273
10,"San Francisco, California",doctor,ChIJZ2CoKLaAhYARd7li4iKtR1s,"Dr. Richard J. O'donnell, MD","['doctor', 'health', 'point_of_interest', 'establishment']","1825 4th Street, San Francisco",37.7664556,-122.3902082
11,"San Francisco, California",doctor,ChIJTZI5ZFeHhYAR9vfKgQG3s9Q,"Eugene de Juan, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","400 Parnassus Avenue, San Francisco",37.76429210000001,-122.4574255
12,"San Francisco, California",doctor,ChIJ-fdK9caAhYARYOC8e4YnZWk,"Pacific Eye Associates: Danny Y. Lin, MD","['doctor', 'health', 'point_of_interest', 'establishment']","2100 Webster Street #214, San Francisco",37.7905249,-122.432128
13,"San Francisco, California",doctor,ChIJ9brBsOqAhYARk2kwdDBMZI8,"Jay Bansal, MD","['doctor', 'health', 'point_of_interest', 'establishment']","711 Van Ness Avenue #320, San Francisco",37.7821488,-122.421184
14,"San Francisco, California",doctor,ChIJj0029Y6AhYARoPOXvh5DVwI,Bafekr Haleh DDS,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']","490 Post Street #549, San Francisco",37.78840699999999,-122.409757
15,"San Francisco, California",doctor,ChIJ9brBsOqAhYAR3q5ThqrNaqY,Discovery Pediatric Dentistry: Fred C Haeberlein DDS,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']","1700 California Street #200, San Francisco",37.7905282,-122.4231485
16,"San Francisco, California",doctor,ChIJj0029Y6AhYAROhq-6CX2SMg,Carmelo Lim Roco,"['doctor', 'health', 'point_of_interest', 'establishment']","490 Post Street, San Francisco",37.78840709999999,-122.4096604
17,"San Francisco, California",doctor,ChIJj0029Y6AhYARM9vYRPQ3s_8,"Aesthetic Surgery Center: Michael R. Macdonald, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","500 Sutter Street #430, San Francisco",37.7893358,-122.4088342
18,"San Francisco, California",doctor,ChIJqRhcpY6AhYARFkfMwsVIQbA,Dr. Harvey S. Bartnof,"['doctor', 'health', 'point_of_interest', 'establishment']","450 Sutter Street, San Francisco",37.7896794,-122.4078572
19,"San Francisco, California",doctor,ChIJsTwLd5OAhYARkGsmE9MqFBs,"Dr. Edmond A. Zingaro, MD","['doctor', 'health', 'point_of_interest', 'establishment']","909 Hyde Street, San Francisco",37.7893819,-122.4175701
20,"San Francisco, California",doctor,ChIJLSWrfVeHhYAR41rkUlCKVoM,UCSF Radiology & Biomedical,"['doctor', 'health', 'point_of_interest', 'establishment']","505 Parnassus Avenue, San Francisco",37.76308949999999,-122.4578144
21,"San Francisco, California",doctor,ChIJiWwdo1mHhYARlGWujztyT_Q,"Laurence Baskin, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","1825 4th Street, San Francisco",37.7656374,-122.3897884
22,"San Francisco, California",doctor,ChIJLSWrfVeHhYARhp59HvABZi8,UCSF Radiation Oncology: Barani Igor MD,"['doctor', 'health', 'point_of_interest', 'establishment']","505 Parnassus Avenue # L75, San Francisco",37.76308949999999,-122.4578144
23,"San Francisco, California",doctor,ChIJLSWrfVeHhYARY4c2kvHAZ4Y,"Mark Cocalis, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","1825 4th Street, San Francisco",37.7656374,-122.3897884
24,"San Francisco, California",doctor,ChIJ-fdK9caAhYARZnsgYPeyKNI,"Dr. Clinton W. Young, MD","['doctor', 'health', 'point_of_interest', 'establishment']","2100 Webster Street, San Francisco",37.7905249,-122.432128
25,"San Francisco, California",doctor,ChIJsTwLd5OAhYARxVfCRwaxT9Y,"Lesley J. Wolff, DPM","['doctor', 'health', 'point_of_interest', 'establishment']","909 Hyde Street #230, San Francisco",37.78934770000001,-122.4175451
26,"San Francisco, California",doctor,ChIJsTwLd5OAhYARGzbRtpdm8Xk,Galamba Patricia J MD,"['doctor', 'health', 'point_of_interest', 'establishment']","909 Hyde Street, San Francisco",37.78934770000001,-122.4175451
27,"San Francisco, California",doctor,ChIJnYbr6saAhYARiDdUIinpsNU,"Roy E. Abendroth, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","2333 Buchanan Street, San Francisco",37.790738,-122.4310773
28,"San Francisco, California",doctor,ChIJZ76fAGGAhYARgppLxsrHrH8,"Dr. Alicea X. Wu, MD","['doctor', 'health', 'point_of_interest', 'establishment']","2 Embarcadero Center, San Francisco",37.7949888,-122.3986798
29,"San Francisco, California",doctor,ChIJyVcni8aAhYAREDDdBlO-YPM,"Kenneth D. Laxer, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","2100 Webster Street #115, San Francisco",37.7905247,-122.4321273
30,"San Francisco, California",doctor,ChIJZ2CoKLaAhYARd7li4iKtR1s,"Dr. Richard J. O'donnell, MD","['doctor', 'health', 'point_of_interest', 'establishment']","1825 4th Street, San Francisco",37.7664556,-122.3902082
31,"San Francisco, California",doctor,ChIJTZI5ZFeHhYAR9vfKgQG3s9Q,"Eugene de Juan, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']","400 Parnassus Avenue, San Francisco",37.76429210000001,-122.4574255
32,"San Francisco, California",doctor,ChIJ-fdK9caAhYARYOC8e4YnZWk,"Pacific Eye Associates: Danny Y. Lin, MD","['doctor', 'health', 'point_of_interest', 'establishment']","2100 Webster Street #214, San Francisco",37.7905249,-122.432128
33,"San Francisco, California",doctor,ChIJ9brBsOqAhYARk2kwdDBMZI8,"Jay Bansal, MD","['doctor', 'health', 'point_of_interest', 'establishment']","711 Van Ness Avenue #320, San Francisco",37.7821488,-122.421184
34,"San Francisco, California",doctor,ChIJj0029Y6AhYARoPOXvh5DVwI,Bafekr Haleh DDS,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']","490 Post Street #549, San Francisco",37.78840699999999,-122.409757
35,"San Francisco, California",doctor,ChIJ9brBsOqAhYAR3q5ThqrNaqY,Discovery Pediatric Dentistry: Fred C Haeberlein DDS,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']","1700 California Street #200, San Francisco",37.7905282,-122.4231485
