,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",local_government_office,ChIJlbvCgJ6AhYARv4JSejr6lU8,San Francisco Municipal Transportation Agency,"['local_government_office', 'point_of_interest', 'establishment']","1 South Van Ness Avenue, San Francisco",37.77495499999999,-122.419055
1,"San Francisco, California",local_government_office,ChIJd2spnJuAhYARbbDmxMLr-ws,Project Read-Main Library,"['library', 'local_government_office', 'point_of_interest', 'establishment']","100 Larkin Street, San Francisco",37.7791156,-122.4157662
2,"San Francisco, California",local_government_office,ChIJAe-oMNd_j4AR-PSfbqF0BbY,California Unemployment Insurance Appeals Board,"['local_government_office', 'point_of_interest', 'establishment']","185 Berry Street # 200, San Francisco",37.77650670000001,-122.3920394
3,"San Francisco, California",local_government_office,ChIJf21VOpqAhYARIgY0yWCWuP8,Supreme Court of California,"['courthouse', 'local_government_office', 'point_of_interest', 'establishment']","350 McAllister Street, San Francisco",37.7807339,-122.4178528
4,"San Francisco, California",local_government_office,ChIJjzgIo56AhYARtXdJAWnHwt0,Public Works Department Engineering,"['local_government_office', 'point_of_interest', 'establishment']","30 Van Ness Avenue # 5100, San Francisco",37.77597,-122.4190548
5,"San Francisco, California",local_government_office,ChIJp2UYiWKAhYARWbFNX3-c7bA,Victorian Government Business Office,"['local_government_office', 'finance', 'point_of_interest', 'establishment']","575 Market Street, San Francisco",37.7896601,-122.4004355
6,"San Francisco, California",local_government_office,ChIJF-l7ZYiAhYARU-zELCWxKwA,VisaCentral San Francisco,"['local_government_office', 'point_of_interest', 'establishment']","555 Montgomery Street, San Francisco",37.7943714,-122.4036105
7,"San Francisco, California",local_government_office,ChIJEfL_42SAhYARDf1dtbmQT68,The State Bar of California,"['lawyer', 'local_government_office', 'point_of_interest', 'establishment']","180 Howard Street, San Francisco",37.79115900000001,-122.393274
8,"San Francisco, California",local_government_office,ChIJ3UTZGJqAhYARWnUjlHYTJOk,Assemblyman Tom Ammiano,"['local_government_office', 'point_of_interest', 'establishment']","455 Golden Gate Avenue # 14300, San Francisco",37.7811142,-122.4180618
9,"San Francisco, California",local_government_office,ChIJzwpUCZyAhYARpD64Jc7SNb4,"San Francisco City & County: Department of Children, Youth & Their Families (DCYF)","['local_government_office', 'point_of_interest', 'establishment']","1390 Market Street #900, San Francisco",37.7770837,-122.4176807
10,"San Francisco, California",local_government_office,ChIJb5sV-T5-j4ARsgGyPhUmAT4,US Social Security Administration,"['local_government_office', 'point_of_interest', 'establishment']","1098 Valencia Street, San Francisco",37.7554763,-122.4212374
11,"San Francisco, California",local_government_office,ChIJTbkSkpeAhYAR2mpRc-5df-0,Experience Unlimited,"['local_government_office', 'point_of_interest', 'establishment']","745 Franklin Street, San Francisco",37.781352,-122.422385
12,"San Francisco, California",local_government_office,ChIJO8CPF2GAhYARjxt6Nf_Infk,Travel Document Systems,"['travel_agency', 'local_government_office', 'point_of_interest', 'establishment']","One Embarcadero Center Suite #552, San Francisco",37.794883,-122.399814
13,"San Francisco, California",local_government_office,ChIJ4djOTYqAhYARwcDnu8aCr68,SeedPort,"['local_government_office', 'point_of_interest', 'establishment']","580 California Street, San Francisco",37.7928738,-122.4039427
14,"San Francisco, California",local_government_office,ChIJsQywyImAhYARjsNbnRN4UB8,Natural Resources Defense Council,"['local_government_office', 'point_of_interest', 'establishment']","111 Sutter Street # 20, San Francisco",37.7898134,-122.4025526
15,"San Francisco, California",local_government_office,ChIJdxz21ZuAhYARN11qqiOe8r0,San Francisco Pool Service,"['courthouse', 'local_government_office', 'point_of_interest', 'establishment']","1 Doctor Carlton B Goodlett Place, San Francisco",37.7792845,-122.4195323
16,"San Francisco, California",local_government_office,ChIJh2VAamKAhYARDyC6QgZ8sWw,HOK,"['local_government_office', 'general_contractor', 'point_of_interest', 'establishment']","One Bush Street Suite 200, San Francisco",37.79097819999999,-122.4000388
17,"San Francisco, California",local_government_office,ChIJOS1iwJ6AhYARRp8zRUk08S8,San Francisco Arts Commission,"['local_government_office', 'point_of_interest', 'establishment']","401 Van Ness Avenue #325, San Francisco",37.7795853,-122.4210028
18,"San Francisco, California",local_government_office,ChIJKc7FX5mAhYARsTUy353leeA,San Francisco Office of Vital Records,"['local_government_office', 'point_of_interest', 'establishment']","101 Grove Street #105, San Francisco",37.7781592,-122.4186388
19,"San Francisco, California",local_government_office,ChIJA5OA_YWAhYARnUMSIXhGWuM,Visa Network,"['local_government_office', 'point_of_interest', 'establishment']","870 Market Street #888, San Francisco",37.785156,-122.407535
