,City,Type,Place ID,Name,Point of interests,Address,LatLng
0,"San Francisco, California",restaurant,ChIJ0SMraI-AhYAREeJAvm2_yGM,Hotel Fusion,"['night_club', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","140 Ellis Street, San Francisco","37.785568, -122.408581"
1,"San Francisco, California",restaurant,ChIJN2S4EI2AhYAR9J4Qeh1U8Aw,Fairmont San Francisco,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","950 Mason Street, San Francisco","37.7924187, -122.4106758"
2,"San Francisco, California",restaurant,ChIJURDKN2eAhYARN0AMzUEaiKo,La Mar Cebicheria Peruana,"['restaurant', 'food', 'point_of_interest', 'establishment']","pier 1 1/2 The Embarcadero, San Francisco","37.797387, -122.395196"
3,"San Francisco, California",restaurant,ChIJ18LA7PSAhYARZCNy_dme7v8,Comstock Saloon,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","155 Columbus Avenue, San Francisco","37.79692980000001, -122.4055622"
4,"San Francisco, California",restaurant,ChIJIbtvA4qAhYARdnwerOi-f4I,Credo,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","360 Pine Street, San Francisco","37.79214530000001, -122.4020407"
5,"San Francisco, California",restaurant,ChIJO8CPF2GAhYARBKYOHZoWGCo,Hornblower Cruises & Events,"['travel_agency', 'restaurant', 'food', 'point_of_interest', 'establishment']","Pier 3, Hornblower Landing, San Francisco","37.7979219, -122.395302"
6,"San Francisco, California",restaurant,ChIJzWMEoXuAhYARnGNx8NeVTpY,Local Kitchen & Wine Merchant,"['liquor_store', 'night_club', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","330 1st Street #1, San Francisco","37.786797, -122.394217"
7,"San Francisco, California",restaurant,ChIJP5PrLYSAhYARBcWhJXs55P4,54 Mint SF,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","16 Mint Plaza, San Francisco","37.7825768, -122.4079816"
8,"San Francisco, California",restaurant,ChIJiZyN7IeAhYARnCn-G6GH73Q,The Grove - Yerba Buena,"['restaurant', 'food', 'point_of_interest', 'establishment']","690 Mission Street, San Francisco","37.78654239999999, -122.4019862"
9,"San Francisco, California",restaurant,ChIJW52Si_OAhYAR-jAC1-iQh_c,The Stinking Rose,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","325 Columbus Avenue, San Francisco","37.798114, -122.40757"
