,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",rv_park,ChIJRdmniAZ8j4ARRodY3jbG03c,The Franciscan Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","700 Hoffman Street, Daly City",37.68860089999999,-122.4511618
1,"San Francisco, California",rv_park,ChIJ8ecE0id-j4ARPLz_VbEEirc,Outdoorsy,"['rv_park', 'real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']","1475 Folsom Street 2nd floor, San Francisco",37.7719003,-122.4134771
0,"Napa, California",rv_park,ChIJ05A1P8AAhYAR6GQfIqePZvw,Napa Valley,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","1040 Orchard Avenue, Napa",38.3474627,-122.3312867
1,"Napa, California",rv_park,ChIJY8W81MgAhYAR91-26s14VIc,Salvador Mobile Estates,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","4421 Solano Avenue, Napa",38.3394238,-122.327647
2,"Napa, California",rv_park,ChIJaeuM9XEGhYAR9fai_gsJ0ho,Napa Valley Expo RV Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","606 California 121, Napa",38.2960686,-122.2755726
3,"Napa, California",rv_park,ChIJFeYYQwwGhYART3UF94beKNU,Silverado Pines Mobile Home Pk,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","150 Silverado Trail, Napa",38.2891184,-122.2728456
4,"Napa, California",rv_park,ChIJ3ecHHOQGhYARQ8YwHPnAumA,Pueblo Mobilehome Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","1700 Pueblo Avenue #99, Napa",38.3154065,-122.3040193
5,"Napa, California",rv_park,ChIJ8VZjidIAhYARF917qU0jEyw,Grandview Mobile Home Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","4130 Byway East, Napa",38.3365633,-122.3194433
6,"Napa, California",rv_park,ChIJHbvIPsYAhYAR4y44o-AoeRk,La Siesta Village,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","4433 Solano Avenue, Napa",38.3418559,-122.3295291
7,"Napa, California",rv_park,ChIJJdNy4uUGhYARKVLJu5mX3CA,Rexford Mobile Estates LLC,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","1350 Pueblo Avenue # 216, Napa",38.316866,-122.3003208
8,"Napa, California",rv_park,ChIJW3QpKcwAhYARXOqVWij2F9Y,Oaktree Vineyard,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","2001 Salvador Avenue West, Napa",38.337224,-122.325443
9,"Napa, California",rv_park,ChIJ8yqxSe8GhYARq9ZBKkToq9E,Miller's Mobile Home Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","3130 Jefferson Street, Napa",38.3175506,-122.2972477
10,"Napa, California",rv_park,ChIJi4hgrW0GhYAR7D1c-5PMzPQ,Valley Estates,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","533 Soscol Avenue #100, Napa",38.2929196,-122.2795055
11,"Napa, California",rv_park,ChIJ23OMrowGhYARADy0rv-pbHc,Napa Valley Manor,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","770 Lincoln Avenue, Napa",38.311695,-122.287645
12,"Napa, California",rv_park,ChIJ_cobo8gAhYAR3mhADXs-cgE,Newells Mobile City,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","4427 Solano Avenue, Napa",38.34064800000001,-122.328965
13,"Napa, California",rv_park,ChIJTdqghBAPhYAR4KubD3Y5kC8,Skyline RV Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","2201 Imola Avenue, Napa",38.2777784,-122.2494023
0,"Sonoma, California",rv_park,ChIJhwZaPZ-uhYARH78N2CCRTw8,Moon Valley,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","1001 5th Street West, Sonoma",38.284132,-122.471446
1,"Sonoma, California",rv_park,ChIJ-9yCz5-uhYAR3fELfoFmjos,Pueblo Serena Mobile Home Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","951 5th Street West, Sonoma",38.28694099999999,-122.471531
2,"Sonoma, California",rv_park,ChIJIeyOQzqshYARFUCANJC4pME,Sonoma Oaks,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","19275 Sonoma Hwy 12, Sonoma",38.2982162,-122.4779611
3,"Sonoma, California",rv_park,ChIJU0LrhPWuhYARBogdrE_HzrM,Seven Flags of Sonoma Mobile,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","1400 Watmaugh Road, Sonoma",38.2597652,-122.4912811
4,"Sonoma, California",rv_park,ChIJ8WpOcEashYARwdJY351SG54,Acacia Grove Mobile Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","18629 California 12, Sonoma",38.30744,-122.47736
5,"Sonoma, California",rv_park,ChIJnznS_lWshYARb-kYgKpdGYw,Sonoma Rancho Vista,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","17324 California 12, Sonoma",38.3195506,-122.4899251
6,"Sonoma, California",rv_park,ChIJizj2wLquhYARtJ4ZE8wUdHY,Lazzarotto Mobile Home Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","18925 Sonoma Highway, Sonoma",38.3041264,-122.4780192
7,"Sonoma, California",rv_park,ChIJ0ziLCkeshYARAOKTqZX4r4w,Brookside Mobil Manor,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","18715 Sonoma Highway, Sonoma",38.308095,-122.476021
8,"Sonoma, California",rv_park,ChIJCe3KSqWuhYARh1DVRK4OTWM,Meadowbrook Mobile Estates,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","18880 California 12, Sonoma",38.281379,-122.4594722
9,"Sonoma, California",rv_park,ChIJO4hrLUSshYARQ4JAVllzQag,Oak Park Trailer,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","171 Siesta Way, Sonoma",38.30991600000001,-122.477749
10,"Sonoma, California",rv_park,ChIJw4QqOLBShIARiVqLLYiREHg,Heric Mobile Home Pk Management,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","14302 Arnold Drive, Glen Ellen",38.3540335,-122.52804
0,"San Mateo, California",rv_park,ChIJPS4Oe02fj4ARsDWubFisg6Q,Belmont Trailer Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","100 Harbor Boulevard, Belmont",37.5221653,-122.2667007
0,"Belmont, California",rv_park,ChIJXePDbxGjj4ARWBqBjD9Rb-0,Sequoia Trailer Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","730 Barron Avenue, Redwood City",37.479995,-122.205046
1,"Belmont, California",rv_park,ChIJA-25TD2jj4ARfrY984K2M2Y,Harbor Village Mobile Home Pk,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","3015 East Bayshore Road, Redwood City",37.4875557,-122.1961585
2,"Belmont, California",rv_park,ChIJCTOiozyjj4ARlVkFu2U3Gjg,Trailer Villa,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","3401 East Bayshore Road, Redwood City",37.4871687,-122.1919875
3,"Belmont, California",rv_park,ChIJPS4Oe02fj4ARsDWubFisg6Q,Belmont Trailer Park,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","100 Harbor Boulevard, Belmont",37.5221653,-122.2667007
4,"Belmont, California",rv_park,ChIJlfckbDujj4ARzDj0ebDTFh8,Bayshore Villa,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","3499 East Bayshore Road, Redwood City",37.4870017,-122.1903556
5,"Belmont, California",rv_park,ChIJE-eHZBmjj4ARjpTOTod5Rw8,Redwood Mobile Estates,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","2053 East Bayshore Road, Redwood City",37.487648,-122.2005669
6,"Belmont, California",rv_park,ChIJAVzd7k2ij4ARHkOqaM_7zn8,Shelter Development Corporation Inc,"['rv_park', 'lodging', 'point_of_interest', 'establishment']","600 Allerton Street, Redwood City",37.48944120000001,-122.2322348
