,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",school,ChIJi_z_a6KAhYARHyEzLOKy6xQ,Yoga Tree Hayes,"['gym', 'health', 'school', 'point_of_interest', 'establishment']","519 Hayes Street, San Francisco",37.776507,-122.425014
1,"San Francisco, California",school,ChIJu2l-LmWAhYARxmTpj4vb0I8,Bright Horizons at 221 Main,"['school', 'point_of_interest', 'establishment']","221 Main Street, San Francisco",37.79034,-122.392263
2,"San Francisco, California",school,ChIJEXlt4TJ-j4ARRpaWbbt3zco,Le Cordon Bleu College of Culinary Arts in San Francisco,"['school', 'point_of_interest', 'establishment']","350 Rhode Island Street, San Francisco",37.7658883,-122.4028824
3,"San Francisco, California",school,ChIJU7vCd5F9j4AR9GT0sizLXwo,San Francisco Driving School,"['school', 'point_of_interest', 'establishment']","2409 19th Avenue, San Francisco",37.7427893,-122.4758912
4,"San Francisco, California",school,ChIJBc_rV-eAhYARxkitrz4kdj4,Galileo Academy of Science and Technology,"['school', 'point_of_interest', 'establishment']","1150 Francisco Street, San Francisco",37.80346249999999,-122.4240285
5,"San Francisco, California",school,ChIJgaTBe499j4ARxsYjNvqyYZY,Abraham Lincoln High School,"['school', 'point_of_interest', 'establishment']","2162 24th Avenue, San Francisco",37.74690700000001,-122.4799819
6,"San Francisco, California",school,ChIJXS6-VzOHhYARd7uawbWEhlM,Jewish Community Center of San Francisco,"['gym', 'health', 'school', 'point_of_interest', 'establishment']","3200 California Street, San Francisco",37.78733709999999,-122.4472635
7,"San Francisco, California",school,ChIJLbVZeqN9j4AR_U7DEiiHSNY,Lowell High School,"['school', 'point_of_interest', 'establishment']","1101 Eucalyptus Drive, San Francisco",37.73044219999999,-122.4825763
8,"San Francisco, California",school,ChIJvXl2weCAhYARmuP3Xwe2a2s,Peekadoodle Kidsclub,"['school', 'point_of_interest', 'establishment']","900 North Point Street f100, San Francisco",37.8059208,-122.4234058
9,"San Francisco, California",school,ChIJ415kURh-j4ARPfBAwXpgEWk,Mission High School,"['school', 'point_of_interest', 'establishment']","3750 18th Street, San Francisco",37.76171660000001,-122.4273151
10,"San Francisco, California",school,ChIJyzWlA2WAhYARbUwc9td81FY,The Dailey Method,"['gym', 'clothing_store', 'store', 'health', 'school', 'point_of_interest', 'establishment']","121 Spear St # B10, San Francisco",37.79193489999999,-122.3926494
11,"San Francisco, California",school,ChIJtVu3Vip8j4ARtCskvCHVsnI,Lick Wilmerding High School,"['school', 'point_of_interest', 'establishment']","755 Ocean Avenue, San Francisco",37.722267,-122.448946
12,"San Francisco, California",school,ChIJv52BnPuAhYARuybUbBJxOZ4,San Francisco Sailing Co. Sailing School,"['school', 'point_of_interest', 'establishment']","1 Beach Street, San Francisco",37.8076798,-122.4094468
13,"San Francisco, California",school,ChIJk3MvJZaAhYAR_Ou2cdRuun8,Sacred Heart Cathedral Preparatory,"['school', 'point_of_interest', 'establishment']","1055 Ellis Street, San Francisco",37.7834407,-122.4231357
14,"San Francisco, California",school,ChIJL-ABOn59j4AR3SyXX8c88DA,St. Ignatius College Preparatory,"['school', 'point_of_interest', 'establishment']","2001 37th Avenue, San Francisco",37.74806950000001,-122.4959313
15,"San Francisco, California",school,ChIJgzCrm4iAhYARU3na9OZJ6vs,English Language Institute One Embarcadero Center Campus,"['school', 'point_of_interest', 'establishment']","One Embarcadero Center Lobby Level, 2nd Floor, San Francisco",37.794651,-122.399826
16,"San Francisco, California",school,ChIJ0dQTi4N-j4ARBPh_xMRWuqg,Balboa High School,"['school', 'point_of_interest', 'establishment']","1000 Cayuga Avenue, San Francisco",37.72157959999999,-122.4407711
17,"San Francisco, California",school,ChIJxezEGJ-AhYARO1_NzQydKhA,94102,"['premise', 'school', 'point_of_interest', 'establishment']",San Francisco,37.7749032,-122.4216848
18,"San Francisco, California",school,ChIJ_RUEIp-AhYARcsgky6nEFRw,International High School of San Francisco,"['school', 'point_of_interest', 'establishment']","150 Oak Street, San Francisco",37.77538159999999,-122.4216371
19,"San Francisco, California",school,ChIJ3dD4EJyAhYARQvr-cXNJBPU,Marin Day Schools Market Street,"['school', 'point_of_interest', 'establishment']","1390 Market Street #108, San Francisco",37.7770837,-122.4176807
