,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",storage,ChIJvV6W2y9-j4ARCoY3YlC1kJM,Attic Self Storage,"['storage', 'point_of_interest', 'establishment']","2440 16th Street, San Francisco",37.76632470000001,-122.4107375
1,"San Francisco, California",storage,ChIJawY1y7B5j4ART5dFpOyg6Gc,CA - NY Express cross country movers,"['moving_company', 'storage', 'point_of_interest', 'establishment']","2000 McKinnon Avenue, San Francisco",37.74067000000001,-122.397784
2,"San Francisco, California",storage,ChIJt85wllJ-j4AR30laCpq7qJU,Public Storage,"['storage', 'store', 'point_of_interest', 'establishment']","2587 Marin Street, San Francisco",37.747914,-122.4033731
3,"San Francisco, California",storage,ChIJebYv55-AhYAR6XaL83RvDOk,U-Haul Moving & Storage of Downtown San Francisco,"['moving_company', 'storage', 'store', 'point_of_interest', 'establishment']","1525 Bryant Street, San Francisco",37.7681356,-122.4101455
4,"San Francisco, California",storage,ChIJca9MBJ-AhYARFyqClZeXHMU,Security Public Storage,"['storage', 'store', 'point_of_interest', 'establishment']","43 Page Street, San Francisco",37.774037,-122.421414
5,"San Francisco, California",storage,ChIJsY023id-j4ARUqTmLJUtGLU,Extra Space Storage,"['moving_company', 'storage', 'store', 'point_of_interest', 'establishment']","1400 Folsom Street, San Francisco",37.772673,-122.413529
6,"San Francisco, California",storage,ChIJKwC34J-AhYAR_Mg0I2imubs,U-Haul Downtown Box Store,"['moving_company', 'storage', 'store', 'point_of_interest', 'establishment']","100 Valencia Street, San Francisco",37.7713324,-122.4227085
7,"San Francisco, California",storage,ChIJz7V6Zp2AhYARG5zjnnqhSqA,Public Storage,"['storage', 'store', 'point_of_interest', 'establishment']","190 10th Street, San Francisco",37.77426629999999,-122.4149757
8,"San Francisco, California",storage,ChIJi8FDWU1-j4ARucixF5Dld8U,Extra Space Storage,"['moving_company', 'storage', 'store', 'point_of_interest', 'establishment']","2501 Cesar Chavez, San Francisco",37.748979,-122.402412
9,"San Francisco, California",storage,ChIJ8y9cMqx_j4ARlbogAnw6-58,Restaurant Depot,"['storage', 'store', 'food', 'point_of_interest', 'establishment']","2045 Evans Avenue, San Francisco",37.7479908,-122.3971516
10,"San Francisco, California",storage,ChIJdbcQ9x1_j4ARTtzQoHZqF8g,Lynch & Sons Van & Storage Co,"['moving_company', 'storage', 'point_of_interest', 'establishment']","1485 Bayshore Boulevard # 52, San Francisco",37.72597429999999,-122.401198
11,"San Francisco, California",storage,ChIJt7luWMh_j4ARVfAVQgnN374,City Storage of San Francisco,"['moving_company', 'storage', 'store', 'point_of_interest', 'establishment']","500 Indiana Street, San Francisco",37.76376399999999,-122.392099
12,"San Francisco, California",storage,ChIJAQAAAOuAhYAR-NZIOUQX-Wg,Penske Truck Rental,"['moving_company', 'storage', 'store', 'point_of_interest', 'establishment']","630 Cesar Chavez, San Francisco",37.7507291,-122.3830739
13,"San Francisco, California",storage,ChIJe4QANVN-j4ARhVc4F64XXMg,Stop n Stor Mini Storage,"['storage', 'point_of_interest', 'establishment']","2285 Jerrold Avenue, San Francisco",37.7455646,-122.4015778
14,"San Francisco, California",storage,ChIJZYRnCbl_j4ARV0J55JWbEGs,Affordable Self Storage ( Reservation & Payment Center ),"['storage', 'point_of_interest', 'establishment']","435 23rd Street, San Francisco",37.75519800000001,-122.384514
15,"San Francisco, California",storage,ChIJ9b0tgpqAhYARKNV6virr17I,Fort Knox Self Storage,"['moving_company', 'storage', 'store', 'point_of_interest', 'establishment']","370 Turk Street, San Francisco",37.7828768,-122.415292
